,img_name,has_pothole,has_crack,is_pitched
0,Image0.jpg,1,1,1
1,Image0_noise.jpg,1,1,1
2,Image0_blur.jpg,1,1,1
3,Image0_hc.jpg,1,1,1
4,Image0_lc.jpg,1,1,1
5,Image1.jpg,1,1,1
6,Image1_noise.jpg,1,1,1
7,Image1_blur.jpg,1,1,1
8,Image1_hc.jpg,1,1,1
9,Image1_lc.jpg,1,1,1
10,Image2.jpg,1,1,1
11,Image2_noise.jpg,1,1,1
12,Image2_blur.jpg,1,1,1
13,Image2_hc.jpg,1,1,1
14,Image2_lc.jpg,1,1,1
15,Image3.jpg,0,0,1
16,Image3_noise.jpg,0,0,1
17,Image3_blur.jpg,0,0,1
18,Image3_hc.jpg,0,0,1
19,Image3_lc.jpg,0,0,1
20,Image4.jpg,0,0,1
21,Image4_noise.jpg,0,0,1
22,Image4_blur.jpg,0,0,1
23,Image4_hc.jpg,0,0,1
24,Image4_lc.jpg,0,0,1
25,Image5.jpg,0,0,1
26,Image5_noise.jpg,0,0,1
27,Image5_blur.jpg,0,0,1
28,Image5_hc.jpg,0,0,1
29,Image5_lc.jpg,0,0,1
30,Image6.jpg,1,1,1
31,Image6_noise.jpg,1,1,1
32,Image6_blur.jpg,1,1,1
33,Image6_hc.jpg,1,1,1
34,Image6_lc.jpg,1,1,1
35,Image7.jpg,1,1,1
36,Image7_noise.jpg,1,1,1
37,Image7_blur.jpg,1,1,1
38,Image7_hc.jpg,1,1,1
39,Image7_lc.jpg,1,1,1
40,Image8.jpg,1,1,1
41,Image8_noise.jpg,1,1,1
42,Image8_blur.jpg,1,1,1
43,Image8_hc.jpg,1,1,1
44,Image8_lc.jpg,1,1,1
45,Image9.jpg,1,1,1
46,Image9_noise.jpg,1,1,1
47,Image9_blur.jpg,1,1,1
48,Image9_hc.jpg,1,1,1
49,Image9_lc.jpg,1,1,1
50,Image10.jpg,1,1,1
51,Image10_noise.jpg,1,1,1
52,Image10_blur.jpg,1,1,1
53,Image10_hc.jpg,1,1,1
54,Image10_lc.jpg,1,1,1
55,Image11.jpg,1,1,1
56,Image11_noise.jpg,1,1,1
57,Image11_blur.jpg,1,1,1
58,Image11_hc.jpg,1,1,1
59,Image11_lc.jpg,1,1,1
60,Image12.jpg,1,1,1
61,Image12_noise.jpg,1,1,1
62,Image12_blur.jpg,1,1,1
63,Image12_hc.jpg,1,1,1
64,Image12_lc.jpg,1,1,1
65,Image13.jpg,1,1,1
66,Image13_noise.jpg,1,1,1
67,Image13_blur.jpg,1,1,1
68,Image13_hc.jpg,1,1,1
69,Image13_lc.jpg,1,1,1
70,Image14.jpg,1,1,1
71,Image14_noise.jpg,1,1,1
72,Image14_blur.jpg,1,1,1
73,Image14_hc.jpg,1,1,1
74,Image14_lc.jpg,1,1,1
75,Image15.jpg,1,1,0
76,Image15_noise.jpg,1,1,0
77,Image15_blur.jpg,1,1,0
78,Image15_hc.jpg,1,1,0
79,Image15_lc.jpg,1,1,0
80,Image16.jpg,1,1,0
81,Image16_noise.jpg,1,1,0
82,Image16_blur.jpg,1,1,0
83,Image16_hc.jpg,1,1,0
84,Image16_lc.jpg,1,1,0
85,Image17.jpg,1,1,0
86,Image17_noise.jpg,1,1,0
87,Image17_blur.jpg,1,1,0
88,Image17_hc.jpg,1,1,0
89,Image17_lc.jpg,1,1,0
90,Image18.jpg,0,0,1
91,Image18_noise.jpg,0,0,1
92,Image18_blur.jpg,0,0,1
93,Image18_hc.jpg,0,0,1
94,Image18_lc.jpg,0,0,1
95,Image19.jpg,0,0,1
96,Image19_noise.jpg,0,0,1
97,Image19_blur.jpg,0,0,1
98,Image19_hc.jpg,0,0,1
99,Image19_lc.jpg,0,0,1
100,Image20.jpg,0,0,1
101,Image20_noise.jpg,0,0,1
102,Image20_blur.jpg,0,0,1
